Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.777777778,*,m, 123.156913,    21.677203,
2459548.778472222,*,m, 122.906986,    21.677339,
2459548.779166667,*,m, 122.657058,    21.677476,
2459548.779861111,*,m, 122.407131,    21.677613,
2459548.780555556,*,m, 122.157203,    21.677749,
2459548.781250000,*,m, 121.907275,    21.677886,
2459548.781944444,*,m, 121.657348,    21.678023,
2459548.782638889,*,m, 121.407420,    21.678160,
2459548.783333333,*,m, 121.157492,    21.678297,
2459548.784027778,*,m, 120.907564,    21.678434,
2459548.784722222,*,m, 120.657637,    21.678571,
2459548.785416667,*,m, 120.407709,    21.678708,
2459548.786111111,*,m, 120.157781,    21.678846,
2459548.786805556,*,m, 119.907853,    21.678983,
2459548.787500000,*,m, 119.657925,    21.679120,
2459548.788194444,*,m, 119.407997,    21.679258,
2459548.788888889,*,m, 119.158069,    21.679395,
2459548.789583333,*,m, 118.908141,    21.679533,
2459548.790277778,*,m, 118.658212,    21.679670,
2459548.790972222,*,m, 118.408284,    21.679808,
2459548.791666667,*,m, 118.158356,    21.679946,
2459548.792361111,*,m, 117.908428,    21.680084,
2459548.793055556,*,m, 117.658499,    21.680221,
2459548.793750000,*,m, 117.408571,    21.680359,
2459548.794444445,*,m, 117.158642,    21.680497,
2459548.795138889,*,m, 116.908714,    21.680635,
2459548.795833333,*,m, 116.658785,    21.680773,
2459548.796527778,*,m, 116.408857,    21.680911,
2459548.797222222,*,m, 116.158928,    21.681050,
2459548.797916667,*,m, 115.909000,    21.681188,
2459548.798611111,*,m, 115.659071,    21.681326,
2459548.799305555,*,m, 115.409142,    21.681464,
2459548.800000000,*,m, 115.159213,    21.681603,
2459548.800694444,*,m, 114.909284,    21.681741,
2459548.801388889,*,m, 114.659356,    21.681880,
2459548.802083333,*,m, 114.409427,    21.682018,
2459548.802777778,*,m, 114.159498,    21.682157,
2459548.803472222,*,m, 113.909569,    21.682295,
2459548.804166667,*,m, 113.659640,    21.682434,
2459548.804861111,*,m, 113.409710,    21.682573,
2459548.805555556,*,m, 113.159781,    21.682712,
2459548.806250000,*,m, 112.909852,    21.682851,
2459548.806944444,*,m, 112.659923,    21.682989,
2459548.807638889,*,m, 112.409994,    21.683128,
2459548.808333333,*,m, 112.160064,    21.683267,
2459548.809027778,*,m, 111.910135,    21.683406,
2459548.809722222,*,m, 111.660205,    21.683545,
2459548.810416667,*,m, 111.410276,    21.683685,
2459548.811111111,*,m, 111.160346,    21.683824,
2459548.811805556,*,m, 110.910417,    21.683963,
2459548.812500000,*,m, 110.660487,    21.684102,
2459548.813194444,*,m, 110.410558,    21.684241,
2459548.813888889,*,m, 110.160628,    21.684381,
2459548.814583333,*,m, 109.910698,    21.684520,
2459548.815277778,*,m, 109.660768,    21.684660,
2459548.815972222,*,m, 109.410838,    21.684799,
2459548.816666667,*,m, 109.160908,    21.684938,
2459548.817361111,*,m, 108.910979,    21.685078,
2459548.818055556,*,m, 108.661049,    21.685218,
2459548.818750000,*,m, 108.411118,    21.685357,
2459548.819444444,*,m, 108.161188,    21.685497,
2459548.820138889,*,m, 107.911258,    21.685636,
2459548.820833333,*,m, 107.661328,    21.685776,
2459548.821527778,*,m, 107.411398,    21.685916,
2459548.822222222,*,m, 107.161468,    21.686056,
2459548.822916667,*,m, 106.911537,    21.686196,
2459548.823611111,*,m, 106.661607,    21.686335,
2459548.824305556,*,m, 106.411676,    21.686475,
2459548.825000000,*,m, 106.161746,    21.686615,
2459548.825694445,*,m, 105.911815,    21.686755,
2459548.826388889,*,m, 105.661885,    21.686895,
2459548.827083333,*,m, 105.411954,    21.687035,
2459548.827777778,*,m, 105.162024,    21.687175,
2459548.828472222,*,m, 104.912093,    21.687315,
